query,expected_answer
I'm looking for black diamond sleeping bag,Product: Black Diamond Sleeping Bag - Stay warm and cozy on your next camping adventure with the Black Diamond Sleeping Bag. This insulate (Price: $74.50)
I'm looking for killer jeans shirt,Product: Killer Jeans Shirt - Stay stylish and comfortable all year round with our Killer Jeans Shirt. Made from high-quality deni (Price: $186.66)
I'm looking for quechua headlamp,Product: Quechua Headlamp - Stay visible and safe in low-light conditions with the Quechua Headlamp. This reliable headlamp is d (Price: $183.25)
I'm looking for plum lipstick,"Product: Plum Lipstick - Add a pop of color to your look with our Plum Lipstick. This rich, vibrant shade is perfect for ever (Price: $405.27)"
I'm looking for decathlon hiking boots,Product: Decathlon Hiking Boots - Stay dry and comfortable on your next hiking adventure with the Decathlon Hiking Boots. These boots  (Price: $36.04)
I'm looking for black diamond camping backpack,Product: Black Diamond Camping Backpack - The Black Diamond Camping Backpack is a versatile and reliable companion for your outdoor adventures (Price: $37.15)
I'm looking for biba jeans,"Product: Biba Jeans - Stay stylish and comfortable all year round with these Biba Jeans. Made from high-quality denim, the (Price: $118.86)"
I'm looking for salomon hiking boots,Product: Salomon Hiking Boots - Stay dry and comfortable on your next hiking adventure with the Salomon Hiking Boots. These boots fe (Price: $246.34)
I'm looking for gap dress,"Product: Gap Dress - Stay stylish and comfortable this season with the Gap Dress. Made from breathable and soft fabric, t (Price: $221.71)"
I'm looking for metro shoes running shoes,Product: Metro Shoes Running Shoes - Stay on top of your fitness game with the Metro Shoes Running Shoes. Designed for performance and co (Price: $272.08)
I'm looking for tommy hilfiger sweater,"Product: Tommy Hilfiger Sweater - Stay warm and stylish this season with the Tommy Hilfiger Sweater. Made from soft, high-quality mate (Price: $400.56)"
I'm looking for columbia cooler,"Product: Columbia Cooler - Stay cool and refreshed on warm days with the Columbia Cooler, a versatile and portable insulated ba (Price: $393.55)"
I'm looking for maybelline compact powder,"Product: Maybelline Compact Powder - Achieve a smooth, flawless complexion with Maybelline Compact Powder. This long-lasting, oil-control (Price: $195.97)"
I'm looking for raymond sweater,"Product: Raymond Sweater - Stay warm and stylish this season with the Raymond Sweater, a classic cold-weather essential. Made f (Price: $149.31)"
I'm looking for mac cosmetics mascara,Product: MAC Cosmetics Mascara - Get the perfect lash look with MAC Cosmetics Mascara. This long-lasting mascara is designed to volum (Price: $158.62)
I'm looking for woodland sandals,"Product: Woodland Sandals - Step into the great outdoors with our Woodland Sandals, perfect for warm weather adventures. Made wi (Price: $482.38)"
I'm looking for merrell hiking boots,Product: Merrell Hiking Boots - Stay dry and comfortable on your next hiking adventure with the Merrell Hiking Boots. These rugged b (Price: $384.24)
I'm looking for estée lauder face serum,"Product: Estée Lauder Face Serum - Nourish and rejuvenate your skin with Estée Lauder's Face Serum, a rich and hydrating formula design (Price: $477.67)"
I'm looking for being human jeans,Product: Being Human Jeans - Stay stylish and comfortable all year round with these Being Human Jeans. Made from high-quality den (Price: $361.91)
I'm looking for quechua sleeping bag,Product: Quechua Sleeping Bag - Stay warm and comfortable on your outdoor adventures with the Quechua Sleeping Bag. This insulated s (Price: $72.20)
Show me shoes products,"Product: Reebok Running Shoes - Stay on top of your fitness game with these Reebok running shoes, designed for high-performance runn (Price: $305.83)"
Show me boots products,"Product: Liberty Boots - Step into the season with the Liberty Boots, a stylish and versatile cold-weather companion. Featuri (Price: $95.53)"
Show me loafers products,"Product: Relaxo Loafers - Step into comfort with Relaxo Loafers, perfect for casual outings and everyday wear. These loafers f (Price: $377.23)"
Show me sweater products,"Product: Spykar Sweater - Stay warm and stylish this season with the Spykar Sweater, perfect for casual outings and everyday w (Price: $153.91)"
Show me shoes products,"Product: Bata Running Shoes - Stay on top of your fitness game with the Bata Running Shoes, designed for high-intensity workouts a (Price: $64.08)"
Show me trekking products,Product: Decathlon Trekking Pole - Stay stable and confident on your next trek with the Decathlon Trekking Pole. This sturdy pole featu (Price: $281.39)
Show me lakmé products,Product: Lakmé Mascara - Get the perfect lash look with Lakmé Mascara. This long-lasting mascara is designed to volumize and  (Price: $125.87)
